DATE,CCLACBW027SBOG
2010-02-17,319.3729
2010-02-24,318.1209
2010-03-03,313.2159
2010-03-10,312.1973
2010-03-17,315.3055
2010-03-24,321.1847
2010-03-31,650.6726
2010-04-07,650.6913
2010-04-14,649.4339
2010-04-21,647.7623
2010-04-28,646.7672
2010-05-05,643.9278
2010-05-12,642.5637
2010-05-19,641.8457
2010-05-26,639.1814
2010-06-02,634.9656
2010-06-09,635.4455
2010-06-16,632.5833
2010-06-23,632.1292
2010-06-30,627.9397
2010-07-07,628.217
2010-07-14,628.1378
2010-07-21,627.1727
2010-07-28,625.7478
2010-08-04,624.3333
2010-08-11,623.1772
2010-08-18,621.9283
2010-08-25,620.788
2010-09-01,618.704
2010-09-08,617.8311
2010-09-15,617.5152
2010-09-22,614.9891
2010-09-29,616.3695
2010-10-06,613.2294
2010-10-13,613.1988
2010-10-20,612.8481
2010-10-27,610.7233
2010-11-03,609.4648
2010-11-10,609.1466
2010-11-17,608.487
2010-11-24,607.672
2010-12-01,606.0811
2010-12-08,607.8991
2010-12-15,607.4123
2010-12-22,606.7497
2010-12-29,606.1666
2011-01-05,605.4252
2011-01-12,603.556
2011-01-19,604.7938
2011-01-26,603.1027
2011-02-02,602.3754
2011-02-09,601.1003
2011-02-16,599.9264
2011-02-23,600.6926
2011-03-02,599.7717
2011-03-09,600.0853
2011-03-16,600.6586
2011-03-23,600.5955
2011-03-30,601.2166
2011-04-06,598.7887
2011-04-13,597.7971
2011-04-20,598.6766
2011-04-27,597.6663
2011-05-04,596.7412
2011-05-11,596.5027
2011-05-18,596.6118
2011-05-25,595.8695
2011-06-01,599.271
2011-06-08,599.5595
2011-06-15,599.464
2011-06-22,600.0211
2011-06-29,601.1275
2011-07-06,601.6584
2011-07-13,600.7026
2011-07-20,600.9836
2011-07-27,600.6823
2011-08-03,600.4478
2011-08-10,600.1536
2011-08-17,599.8955
2011-08-24,599.9147
2011-08-31,600.0633
2011-09-07,599.6277
2011-09-14,599.9873
2011-09-21,599.6869
2011-09-28,600.6774
2011-10-05,602.5694
2011-10-12,601.8011
2011-10-19,601.8565
2011-10-26,601.5967
2011-11-02,600.9426
2011-11-09,601.4694
2011-11-16,601.6316
2011-11-23,601.5207
2011-11-30,602.7406
2011-12-07,601.2017
2011-12-14,601.4208
2011-12-21,600.9571
2011-12-28,602.1291
2012-01-04,603.6114
2012-01-11,601.5374
2012-01-18,601.0591
2012-01-25,598.582
2012-02-01,599.9081
2012-02-08,598.7989
2012-02-15,597.8252
2012-02-22,597.1938
2012-02-29,600.0207
2012-03-07,599.8597
2012-03-14,600.6468
2012-03-21,600.0848
2012-03-28,601.1745
2012-04-04,601.7813
2012-04-11,599.8781
2012-04-18,599.1129
2012-04-25,598.1175
2012-05-02,609.7052
2012-05-09,608.4568
2012-05-16,608.0387
2012-05-23,607.5125
2012-05-30,611.3142
2012-06-06,609.8292
2012-06-13,609.7396
2012-06-20,608.6769
2012-06-27,607.7997
2012-07-04,608.51
2012-07-11,607.3413
2012-07-18,606.855
2012-07-25,605.9229
2012-08-01,607.462
2012-08-08,607.4376
2012-08-15,607.3074
2012-08-22,607.3996
2012-08-29,608.8207
2012-09-05,608.425
2012-09-12,606.865
2012-09-19,607.0032
2012-09-26,606.4735
2012-10-03,608.4552
2012-10-10,608.4165
2012-10-17,607.5183
