"Date","Price","Open","High","Low","Vol.","Change %"
"03/07/2012","2,935.69","2,922.57","2,940.28","2,920.54","426.27M","0.87%"
"03/06/2012","2,910.32","2,917.52","2,921.77","2,900.28","495.16M","-1.36%"
"03/05/2012","2,950.48","2,969.73","2,973.93","2,940.52","417.11M","-0.86%"
"03/02/2012","2,976.19","2,986.08","2,995.97","2,968.00","439.35M","-0.43%"
"03/01/2012","2,988.97","2,979.11","2,996.37","2,974.59","491.29M","0.74%"
"02/29/2012","2,966.89","2,991.67","3,000.11","2,961.77","598.32M","-0.67%"
"02/28/2012","2,986.76","2,969.25","2,988.59","2,966.61","473.30M","0.69%"
"02/27/2012","2,966.16","2,945.87","2,976.08","2,933.30","439.74M","0.08%"
"02/24/2012","2,963.75","2,963.13","2,970.88","2,958.82","375.67M","0.23%"
"02/23/2012","2,956.98","2,933.16","2,958.42","2,922.96","438.29M","0.81%"
"02/22/2012","2,933.17","2,942.77","2,950.37","2,929.68","427.36M","-0.52%"
"02/21/2012","2,948.57","2,957.30","2,965.05","2,934.07","454.47M","-0.11%"
"02/17/2012","2,951.78","2,958.22","2,962.78","2,941.55","534.70M","-0.27%"
"02/16/2012","2,959.85","2,915.67","2,961.38","2,912.72","471.61M","1.51%"
"02/15/2012","2,915.83","2,943.42","2,958.19","2,911.33","493.94M","-0.55%"
"02/14/2012","2,931.83","2,921.70","2,932.08","2,911.60","459.08M","0.02%"
"02/13/2012","2,931.39","2,926.21","2,933.93","2,913.89","404.82M","0.95%"
"02/10/2012","2,903.88","2,902.00","2,910.98","2,895.10","441.21M","-0.80%"
"02/09/2012","2,927.23","2,922.46","2,930.68","2,904.51","514.77M","0.39%"
"02/08/2012","2,915.86","2,906.59","2,918.26","2,892.71","476.38M","0.41%"
"02/07/2012","2,904.08","2,895.91","2,910.27","2,885.17","428.83M","0.07%"
"02/06/2012","2,901.99","2,892.52","2,903.03","2,887.33","407.04M","-0.13%"
"02/03/2012","2,905.66","2,888.95","2,908.13","2,885.84","526.72M","1.61%"
"02/02/2012","2,859.68","2,854.10","2,868.23","2,849.40","447.13M","0.40%"
"02/01/2012","2,848.27","2,830.10","2,855.73","2,825.19","540.08M","1.22%"
"01/31/2012","2,813.84","2,825.76","2,830.45","2,798.77","459.38M","0.07%"
"01/30/2012","2,811.94","2,790.40","2,816.85","2,782.44","399.62M","-0.16%"
"01/27/2012","2,816.55","2,797.66","2,821.55","2,797.24","427.28M","0.40%"
"01/26/2012","2,805.28","2,828.78","2,834.30","2,794.78","476.35M","-0.46%"
"01/25/2012","2,818.31","2,803.23","2,822.79","2,788.95","480.46M","1.14%"
"01/24/2012","2,786.64","2,771.58","2,788.38","2,766.34","412.58M","0.09%"
"01/23/2012","2,784.17","2,786.21","2,804.99","2,769.82","391.76M","-0.09%"
"01/20/2012","2,786.70","2,776.04","2,787.20","2,775.87","522.62M","-0.06%"
"01/19/2012","2,788.33","2,779.74","2,793.35","2,777.17","466.59M","0.67%"
"01/18/2012","2,769.71","2,731.16","2,769.71","2,730.05","490.87M","1.53%"
"01/17/2012","2,728.08","2,736.34","2,742.73","2,721.03","441.25M","0.64%"
"01/13/2012","2,710.67","2,707.41","2,712.93","2,689.58","422.13M","-0.51%"
"01/12/2012","2,724.70","2,716.87","2,726.43","2,697.32","403.17M","0.51%"
"01/11/2012","2,710.76","2,695.77","2,714.29","2,690.73","419.72M","0.31%"
"01/10/2012","2,702.50","2,704.42","2,712.50","2,694.33","453.07M","0.97%"
"01/09/2012","2,676.56","2,682.98","2,683.78","2,662.96","447.70M","0.09%"
"01/06/2012","2,674.22","2,671.17","2,682.12","2,658.83","412.31M","0.16%"
"01/05/2012","2,669.86","2,642.57","2,673.56","2,631.23","442.08M","0.81%"
"01/04/2012","2,648.36","2,639.90","2,653.18","2,627.23","411.09M","-0.01%"
"01/03/2012","2,648.72","2,657.39","2,665.90","2,641.98","411.79M","1.67%"
"12/30/2011","2,605.15","2,610.23","2,616.46","2,604.60","290.70M","-0.33%"
"12/29/2011","2,613.74","2,596.33","2,614.87","2,593.04","253.71M","0.92%"
"12/28/2011","2,589.98","2,626.19","2,626.34","2,586.85","267.65M","-1.34%"
"12/27/2011","2,625.20","2,613.51","2,633.34","2,610.77","195.84M","0.25%"
"12/23/2011","2,618.64","2,607.43","2,618.84","2,599.89","219.15M","0.74%"
"12/22/2011","2,599.45","2,584.33","2,601.99","2,581.92","369.20M","0.83%"
"12/21/2011","2,577.97","2,589.77","2,590.61","2,544.66","468.82M","-0.99%"
"12/20/2011","2,603.73","2,567.25","2,604.52","2,566.87","500.76M","3.19%"
"12/19/2011","2,523.14","2,564.07","2,570.65","2,518.01","392.16M","-1.26%"
"12/16/2011","2,555.33","2,554.62","2,585.42","2,548.00","985.01M","0.56%"
"12/15/2011","2,541.01","2,565.93","2,565.94","2,536.58","450.85M","0.07%"
"12/14/2011","2,539.31","2,566.21","2,568.44","2,525.88","483.86M","-1.55%"
"12/13/2011","2,579.27","2,629.67","2,639.74","2,568.44","454.22M","-1.26%"
"12/12/2011","2,612.26","2,617.32","2,617.32","2,591.42","418.20M","-1.31%"
"12/09/2011","2,646.85","2,603.18","2,653.46","2,603.18","418.36M","1.94%"
"12/08/2011","2,596.38","2,633.30","2,645.92","2,592.55","492.48M","-1.99%"
"12/07/2011","2,649.21","2,638.61","2,660.24","2,612.80","433.04M","-0.01%"
"12/06/2011","2,649.56","2,655.02","2,663.63","2,639.18","374.31M","-0.23%"
"12/05/2011","2,655.76","2,666.47","2,674.53","2,641.59","433.48M","1.10%"
"12/02/2011","2,626.93","2,650.80","2,659.23","2,625.07","407.88M","0.03%"
"12/01/2011","2,626.20","2,615.67","2,636.08","2,611.48","445.01M","0.22%"
"11/30/2011","2,620.34","2,586.39","2,620.34","2,582.49","818.73M","4.17%"
"11/29/2011","2,515.51","2,529.11","2,542.46","2,508.27","421.54M","-0.47%"
"11/28/2011","2,527.34","2,509.63","2,531.32","2,507.72","455.18M","3.52%"
"11/25/2011","2,441.51","2,453.03","2,477.03","2,441.48","200.91M","-0.75%"
"11/23/2011","2,460.08","2,501.18","2,503.38","2,460.08","440.00M","-2.43%"
"11/22/2011","2,521.28","2,517.64","2,534.40","2,499.19","441.86M","-0.07%"
"11/21/2011","2,523.14","2,535.34","2,539.87","2,500.89","513.06M","-1.92%"
"11/18/2011","2,572.50","2,595.02","2,595.84","2,567.15","473.35M","-0.60%"
"11/17/2011","2,587.99","2,637.37","2,637.48","2,576.22","555.83M","-1.96%"
"11/16/2011","2,639.61","2,661.09","2,688.86","2,637.91","507.87M","-1.73%"
"11/15/2011","2,686.20","2,647.91","2,695.87","2,644.00","431.67M","1.09%"
"11/14/2011","2,657.22","2,671.11","2,682.13","2,647.48","356.72M","-0.80%"
"11/11/2011","2,678.75","2,653.53","2,684.67","2,649.85","401.44M","2.04%"
"11/10/2011","2,625.15","2,652.01","2,652.40","2,601.79","500.67M","0.13%"
"11/09/2011","2,621.65","2,662.56","2,672.34","2,617.93","575.97M","-3.88%"
"11/08/2011","2,727.49","2,712.08","2,730.39","2,680.93","469.14M","1.20%"
"11/07/2011","2,695.25","2,683.38","2,697.02","2,649.06","440.44M","0.34%"
"11/04/2011","2,686.15","2,678.16","2,693.67","2,655.12","461.04M","-0.44%"
"11/03/2011","2,697.97","2,666.21","2,699.84","2,628.22","550.99M","2.20%"
"11/02/2011","2,639.98","2,637.56","2,648.46","2,613.74","522.79M","1.27%"
"11/01/2011","2,606.96","2,607.31","2,638.60","2,597.16","638.79M","-2.89%"
"10/31/2011","2,684.41","2,705.89","2,716.70","2,684.13","502.70M","-1.93%"
"10/28/2011","2,737.15","2,724.03","2,742.27","2,723.03","480.01M","-0.05%"
"10/27/2011","2,738.63","2,720.59","2,753.37","2,694.27","713.32M","3.32%"
"10/26/2011","2,650.67","2,660.42","2,666.29","2,598.74","556.08M","0.46%"
"10/25/2011","2,638.42","2,685.86","2,685.88","2,633.94","465.59M","-2.26%"
"10/24/2011","2,699.44","2,644.83","2,703.07","2,643.94","468.79M","2.35%"
"10/21/2011","2,637.46","2,630.30","2,646.92","2,611.11","621.70M","1.49%"
"10/20/2011","2,598.62","2,605.42","2,606.39","2,557.17","516.28M","-0.21%"
"10/19/2011","2,604.04","2,642.89","2,651.88","2,597.77","505.56M","-2.01%"
"10/18/2011","2,657.43","2,614.05","2,667.57","2,586.31","524.34M","1.63%"
"10/17/2011","2,614.92","2,653.32","2,658.25","2,606.91","441.27M","-1.98%"
"10/14/2011","2,667.85","2,655.23","2,667.85","2,636.00","412.32M","1.82%"
"10/13/2011","2,620.24","2,595.05","2,625.22","2,588.71","436.76M","0.60%"
"10/12/2011","2,604.73","2,606.61","2,629.49","2,602.31","507.46M","0.84%"
"10/11/2011","2,583.03","2,554.70","2,587.28","2,551.94","420.20M","0.66%"
"10/10/2011","2,566.05","2,522.72","2,566.05","2,519.78","421.84M","3.50%"
"10/07/2011","2,479.35","2,509.61","2,512.14","2,468.60","547.92M","-1.10%"
"10/06/2011","2,506.82","2,459.05","2,507.44","2,446.72","579.84M","1.88%"
"10/05/2011","2,460.51","2,398.37","2,466.50","2,380.96","651.56M","2.32%"
"10/04/2011","2,404.82","2,312.68","2,406.67","2,298.89","845.16M","2.95%"
"10/03/2011","2,335.83","2,401.19","2,430.88","2,335.23","710.58M","-3.29%"
"09/30/2011","2,415.40","2,444.77","2,468.98","2,415.07","597.57M","-2.63%"
"09/29/2011","2,480.76","2,535.52","2,538.97","2,433.58","609.96M","-0.43%"
"09/28/2011","2,491.58","2,557.86","2,569.79","2,491.07","523.31M","-2.17%"
"09/27/2011","2,546.83","2,560.78","2,590.94","2,532.65","566.85M","1.20%"
"09/26/2011","2,516.69","2,496.98","2,518.91","2,446.12","517.94M","1.35%"
"09/23/2011","2,483.23","2,438.63","2,490.72","2,438.28","552.81M","1.12%"
"09/22/2011","2,455.67","2,466.06","2,494.31","2,420.23","791.23M","-3.25%"
"09/21/2011","2,538.19","2,601.06","2,613.29","2,537.46","586.88M","-2.01%"
"09/20/2011","2,590.24","2,623.89","2,643.37","2,589.52","507.83M","-0.86%"
"09/19/2011","2,612.83","2,584.35","2,627.34","2,564.46","497.76M","-0.36%"
"09/16/2011","2,622.31","2,607.12","2,627.28","2,600.96","980.76M","0.58%"
"09/15/2011","2,607.07","2,595.45","2,608.95","2,569.78","519.06M","1.34%"
"09/14/2011","2,572.55","2,548.45","2,600.78","2,519.80","602.20M","1.60%"
"09/13/2011","2,532.15","2,502.59","2,537.40","2,494.07","538.74M","1.49%"
"09/12/2011","2,495.09","2,442.86","2,495.36","2,438.40","525.06M","1.10%"
"09/09/2011","2,467.99","2,508.12","2,518.40","2,452.93","586.13M","-2.42%"
"09/08/2011","2,529.14","2,533.81","2,568.45","2,520.80","521.74M","-0.78%"
"09/07/2011","2,548.94","2,511.50","2,548.94","2,507.52","494.02M","3.04%"
"09/06/2011","2,473.83","2,417.61","2,477.77","2,414.31","501.36M","-0.26%"
"09/02/2011","2,480.33","2,497.28","2,512.78","2,469.35","446.91M","-2.58%"
"09/01/2011","2,546.04","2,583.34","2,604.50","2,543.56","474.62M","-1.30%"
"08/31/2011","2,579.46","2,589.75","2,611.58","2,557.74","594.61M","0.13%"
"08/30/2011","2,576.11","2,547.07","2,589.53","2,534.68","516.48M","0.55%"
"08/29/2011","2,562.11","2,510.99","2,562.58","2,510.13","442.39M","3.32%"
"08/26/2011","2,479.85","2,408.79","2,486.04","2,385.27","513.23M","2.49%"
"08/25/2011","2,419.63","2,470.96","2,482.90","2,415.24","490.11M","-1.95%"
"08/24/2011","2,467.69","2,437.48","2,470.80","2,420.48","493.49M","0.88%"
"08/23/2011","2,446.06","2,360.95","2,446.06","2,349.08","564.70M","4.29%"
"08/22/2011","2,345.38","2,396.88","2,397.34","2,337.28","516.09M","0.15%"
"08/19/2011","2,341.84","2,353.32","2,415.18","2,338.66","671.23M","-1.62%"
"08/18/2011","2,380.43","2,436.38","2,437.01","2,362.97","725.40M","-5.22%"
"08/17/2011","2,511.48","2,527.79","2,549.11","2,488.09","485.71M","-0.47%"
"08/16/2011","2,523.45","2,526.48","2,546.74","2,494.55","544.77M","-1.24%"
"08/15/2011","2,555.20","2,522.04","2,555.20","2,514.52","494.10M","1.88%"
"08/12/2011","2,507.98","2,507.01","2,524.09","2,481.50","584.86M","0.61%"
"08/11/2011","2,492.68","2,415.54","2,516.39","2,399.56","871.49M","4.69%"
"08/10/2011","2,381.05","2,425.55","2,461.28","2,378.08","957.55M","-4.09%"
"08/09/2011","2,482.52","2,402.13","2,483.66","2,331.65","1.06B","5.29%"
"08/08/2011","2,357.69","2,447.30","2,489.39","2,357.69","1.12B","-6.90%"
"08/05/2011","2,532.41","2,580.30","2,592.04","2,464.87","1.03B","-0.94%"
"08/04/2011","2,556.39","2,648.38","2,653.79","2,556.38","864.87M","-5.08%"
"08/03/2011","2,693.07","2,673.97","2,695.37","2,621.67","672.33M","0.89%"
"08/02/2011","2,669.24","2,728.29","2,745.87","2,668.68","612.75M","-2.75%"
"08/01/2011","2,744.61","2,791.45","2,796.24","2,716.30","581.75M","-0.43%"
"07/29/2011","2,756.38","2,736.67","2,780.58","2,724.99","621.21M","-0.36%"
"07/28/2011","2,766.25","2,765.61","2,800.11","2,757.85","513.72M","0.05%"
"07/27/2011","2,764.79","2,823.62","2,823.86","2,761.00","633.90M","-2.65%"
"07/26/2011","2,839.96","2,842.74","2,851.72","2,832.27","436.93M","-0.10%"
"07/25/2011","2,842.80","2,832.11","2,859.40","2,828.91","407.25M","-0.56%"
"07/22/2011","2,858.83","2,834.46","2,862.72","2,830.58","413.15M","0.86%"
"07/21/2011","2,834.43","2,818.79","2,847.41","2,807.71","553.31M","0.72%"
"07/20/2011","2,814.23","2,839.39","2,839.65","2,808.18","476.06M","-0.43%"
"07/19/2011","2,826.52","2,790.98","2,828.65","2,790.98","479.12M","2.22%"
"07/18/2011","2,765.11","2,777.61","2,783.76","2,743.79","463.02M","-0.89%"
"07/15/2011","2,789.80","2,787.33","2,790.16","2,768.28","529.59M","0.98%"
"07/14/2011","2,762.67","2,804.82","2,817.38","2,755.90","546.87M","-1.22%"
"07/13/2011","2,796.92","2,800.88","2,825.86","2,789.57","487.15M","0.54%"
"07/12/2011","2,781.91","2,798.75","2,807.57","2,780.16","529.41M","-0.74%"
"07/11/2011","2,802.62","2,828.10","2,841.12","2,795.54","448.20M","-2.00%"
"07/08/2011","2,859.81","2,841.29","2,860.02","2,831.16","428.04M","-0.45%"
"07/07/2011","2,872.66","2,856.25","2,878.94","2,853.90","465.80M","1.36%"
"07/06/2011","2,834.02","2,821.42","2,838.85","2,812.80","440.07M","0.29%"
"07/05/2011","2,825.77","2,817.87","2,828.53","2,810.00","423.89M","0.35%"
"07/01/2011","2,816.03","2,775.08","2,818.19","2,769.06","460.60M","1.53%"
"06/30/2011","2,773.52","2,749.37","2,776.56","2,749.11","517.12M","1.21%"
"06/29/2011","2,740.49","2,736.76","2,746.62","2,722.26","505.93M","0.41%"
"06/28/2011","2,729.31","2,694.26","2,729.94","2,692.45","448.66M","1.53%"
"06/27/2011","2,688.28","2,653.07","2,697.34","2,647.55","479.28M","1.33%"
"06/24/2011","2,652.89","2,681.10","2,682.41","2,647.46","1.40B","-1.26%"
"06/23/2011","2,686.75","2,638.60","2,688.07","2,627.47","594.12M","0.66%"
"06/22/2011","2,669.19","2,677.18","2,693.23","2,668.35","451.69M","-0.67%"
"06/21/2011","2,687.26","2,640.33","2,688.50","2,634.04","500.03M","2.19%"
"06/20/2011","2,629.66","2,608.05","2,636.55","2,607.74","462.40M","0.50%"
"06/17/2011","2,616.48","2,646.29","2,648.54","2,608.99","941.78M","-0.28%"
"06/16/2011","2,623.70","2,631.98","2,642.65","2,599.86","563.80M","-0.29%"
"06/15/2011","2,631.46","2,653.17","2,669.75","2,625.86","566.88M","-1.76%"
"06/14/2011","2,678.72","2,662.73","2,685.65","2,662.73","480.75M","1.48%"
"06/13/2011","2,639.69","2,649.30","2,657.77","2,629.61","510.32M","-0.15%"
"06/10/2011","2,643.73","2,675.10","2,676.72","2,641.64","563.12M","-1.53%"
"06/09/2011","2,684.87","2,678.52","2,696.69","2,670.02","480.36M","0.35%"
"06/08/2011","2,675.38","2,693.69","2,698.08","2,671.09","570.44M","-0.97%"
"06/07/2011","2,701.56","2,712.79","2,723.32","2,701.17","510.84M","-0.04%"
"06/06/2011","2,702.56","2,728.31","2,736.66","2,702.20","545.85M","-1.11%"
"06/03/2011","2,732.78","2,740.49","2,762.56","2,730.63","559.23M","-1.46%"
"06/02/2011","2,773.31","2,773.76","2,784.57","2,759.17","535.27M","0.15%"
"06/01/2011","2,769.19","2,829.39","2,834.05","2,767.63","662.69M","-2.33%"
"05/31/2011","2,835.30","2,824.25","2,835.34","2,808.60","947.55M","1.37%"
"05/27/2011","2,796.86","2,789.02","2,801.15","2,788.29","444.77M","0.50%"
"05/26/2011","2,782.92","2,756.31","2,787.33","2,756.06","521.81M","0.78%"
"05/25/2011","2,761.38","2,739.99","2,771.38","2,739.85","523.97M","0.55%"
"05/24/2011","2,746.16","2,766.70","2,767.50","2,744.01","495.93M","-0.46%"
"05/23/2011","2,758.90","2,761.96","2,770.51","2,750.64","504.94M","-1.58%"
"05/20/2011","2,803.32","2,815.96","2,821.44","2,796.27","531.97M","-0.71%"
"05/19/2011","2,823.31","2,824.05","2,828.41","2,805.12","493.60M","0.30%"
"05/18/2011","2,815.00","2,782.65","2,817.15","2,780.83","513.71M","1.14%"
"05/17/2011","2,783.21","2,769.17","2,783.61","2,759.29","600.24M","0.03%"
"05/16/2011","2,782.31","2,815.90","2,828.14","2,779.54","572.93M","-1.63%"
"05/13/2011","2,828.47","2,859.70","2,861.51","2,827.51","540.67M","-1.21%"
"05/12/2011","2,863.04","2,833.67","2,865.86","2,819.37","615.41M","0.63%"
"05/11/2011","2,845.06","2,867.16","2,874.61","2,829.68","627.18M","-0.93%"
"05/10/2011","2,871.89","2,851.91","2,873.64","2,850.01","522.62M","1.01%"
"05/09/2011","2,843.25","2,828.24","2,850.39","2,823.67","447.83M","0.55%"
"05/06/2011","2,827.56","2,840.71","2,859.25","2,818.65","561.09M","0.46%"
"05/05/2011","2,814.72","2,812.84","2,845.85","2,804.82","611.73M","-0.48%"
"05/04/2011","2,828.23","2,842.92","2,848.16","2,808.79","610.39M","-0.47%"
"05/03/2011","2,841.62","2,859.30","2,861.95","2,825.50","590.04M","-0.78%"
"05/02/2011","2,864.08","2,881.28","2,887.75","2,859.84","553.48M","-0.33%"
"04/29/2011","2,873.54","2,869.74","2,876.83","2,863.04","948.18M","0.04%"
"04/28/2011","2,872.53","2,862.82","2,874.59","2,859.62","541.97M","0.09%"
"04/27/2011","2,869.88","2,853.88","2,870.80","2,842.61","561.75M","0.78%"
"04/26/2011","2,847.54","2,832.48","2,856.61","2,829.00","538.65M","0.77%"
"04/25/2011","2,825.88","2,820.28","2,826.26","2,813.20","395.07M","0.20%"
"04/21/2011","2,820.16","2,820.77","2,820.77","2,808.55","471.56M","0.63%"
"04/20/2011","2,802.51","2,788.84","2,802.99","2,785.98","539.56M","2.10%"
"04/19/2011","2,744.97","2,741.35","2,746.18","2,727.12","440.01M","0.35%"
"04/18/2011","2,735.38","2,731.22","2,737.46","2,706.50","478.29M","-1.06%"
"04/15/2011","2,764.65","2,752.87","2,769.29","2,743.75","544.73M","0.16%"
"04/14/2011","2,760.22","2,743.12","2,762.18","2,733.68","451.74M","-0.05%"
"04/13/2011","2,761.52","2,762.69","2,772.05","2,744.85","457.20M","0.61%"
"04/12/2011","2,744.79","2,755.89","2,760.62","2,737.07","458.96M","-0.96%"
"04/11/2011","2,771.51","2,789.49","2,792.95","2,760.84","505.17M","-0.32%"
"04/08/2011","2,780.41","2,806.29","2,808.56","2,772.40","422.40M","-0.56%"
"04/07/2011","2,796.14","2,799.59","2,813.22","2,781.13","476.14M","-0.13%"
"04/06/2011","2,799.82","2,808.11","2,815.55","2,786.80","486.87M","0.31%"
"04/05/2011","2,791.19","2,787.78","2,806.20","2,785.27","481.22M","0.07%"
"04/04/2011","2,789.19","2,796.26","2,799.73","2,778.87","428.47M","-0.01%"
