DATE,OEHRENWBSHNO
1978-10-01,1502.236
1979-01-01,1591.248
1979-04-01,1674.961
1979-07-01,1731.468
1979-10-01,1776.547
1980-01-01,1853.068
1980-04-01,1910.998
1980-07-01,1996.673
1980-10-01,2016.635
1981-01-01,2036.183
1981-04-01,2181.092
1981-07-01,2261.52
1981-10-01,2294.699
1982-01-01,2371.815
1982-04-01,2383.283
1982-07-01,2392.103
1982-10-01,2416.198
1983-01-01,2474.362
1983-04-01,2494.423
1983-07-01,2507.058
1983-10-01,2523.858
1984-01-01,2675.833
1984-04-01,2779.138
1984-07-01,2875.316
1984-10-01,2966.659
1985-01-01,3044.106
1985-04-01,3167.252
1985-07-01,3280.839
1985-10-01,3401.85
1986-01-01,3482.723
1986-04-01,3575.588
1986-07-01,3651.837
1986-10-01,3721.797
1987-01-01,3829.006
1987-04-01,3901.898
1987-07-01,3986.668
1987-10-01,4057.655
1988-01-01,4155.024
1988-04-01,4272.492
1988-07-01,4337.755
1988-10-01,4394.335
1989-01-01,4477.54
1989-04-01,4550.438
1989-07-01,4682.026
1989-10-01,4734.202
1990-01-01,4711.872
1990-04-01,4705.378
1990-07-01,4708.267
1990-10-01,4666.176
1991-01-01,4660.536
1991-04-01,4632.319
1991-07-01,4652.431
1991-10-01,4674.009
1992-01-01,4730.051
1992-04-01,4733.04
1992-07-01,4768.661
1992-10-01,4799.622
1993-01-01,4793.588
1993-04-01,4829.062
1993-07-01,4868.494
1993-10-01,4918.344
1994-01-01,4946.046
1994-04-01,4985.339
1994-07-01,5015.735
1994-10-01,5030.284
1995-01-01,5053.215
1995-04-01,5083.507
1995-07-01,5123.366
1995-10-01,5173.362
1996-01-01,5216.454
1996-04-01,5262.128
1996-07-01,5307.589
1996-10-01,5348.978
1997-01-01,5389.411
1997-04-01,5459.522
1997-07-01,5487.33
1997-10-01,5579.365
1998-01-01,5701.183
1998-04-01,5854.296
1998-07-01,6004.417
1998-10-01,6154.904
1999-01-01,6287.868
1999-04-01,6443.783
1999-07-01,6607.639
1999-10-01,6788.529
2000-01-01,7116.996
2000-04-01,7431.934
2000-07-01,7711.272
2000-10-01,8031.324
2001-01-01,8668.96
2001-04-01,8873.194
2001-07-01,9092.797
2001-10-01,9330.38
2002-01-01,9573.863
2002-04-01,9746.28
2002-07-01,9915.549
2002-10-01,10089.852
2003-01-01,10295.119
2003-04-01,10435.777
2003-07-01,10604.228
2003-10-01,10833.667
2004-01-01,11353.91
2004-04-01,11688.233
2004-07-01,12167.672
2004-10-01,12620.408
2005-01-01,13065.225
2005-04-01,13458.921
2005-07-01,13929.791
2005-10-01,14365.104
2006-01-01,14161.882
2006-04-01,14218.239
2006-07-01,14247.997
2006-10-01,14193.528
2007-01-01,13758.039
2007-04-01,13436.737
2007-07-01,13065.939
2007-10-01,12646.31
2008-01-01,11903.009
2008-04-01,11340.684
2008-07-01,10803.675
2008-10-01,10347.53
2009-01-01,9826.509
2009-04-01,9415.945
2009-07-01,9155.98
2009-10-01,8991.618
2010-01-01,9028.127
2010-04-01,9002.06
2010-07-01,8933.253
2010-10-01,8847.797
2011-01-01,8564.709
2011-04-01,8501.237
2011-07-01,8459.862
2011-10-01,8353.88
2012-01-01,8236.98
2012-04-01,8473.502
2012-07-01,8758.017
2012-10-01,9004.598
2013-01-01,9470.063
2013-04-01,9987.718
2013-07-01,10491.607
2013-10-01,10862.115
2014-01-01,11207.454
2014-04-01,11634.519
2014-07-01,12017.4
2014-10-01,12273.823
2015-01-01,12644.952
2015-04-01,13035.058
2015-07-01,13425.977
2015-10-01,13704.44
2016-01-01,14007.78
2016-04-01,14470.942
2016-07-01,14898.029
2016-10-01,15261.431
2017-01-01,15637.82
2017-04-01,16072.763
2017-07-01,16493.642
2017-10-01,16835.728
2018-01-01,17429.551
2018-04-01,17725.031
2018-07-01,17983.367
2018-10-01,18206.57
2019-01-01,18680.712
2019-04-01,18956.777
2019-07-01,19146.008
2019-10-01,19416.667
2020-01-01,19994.463
2020-04-01,20608.143
2020-07-01,21175.542
2020-10-01,21985.897
2021-01-01,23138.8
2021-04-01,24799.887
2021-07-01,26364.266
2021-10-01,27513.455
2022-01-01,29439.079
2022-04-01,31144.036
2022-07-01,31207.407
2022-10-01,30981.345
