DATE,STICKCPIM157SFRBATL
2007-03-01,0.201290000
2007-04-01,0.187350000
2007-05-01,0.169290000
2007-06-01,0.188202
2007-07-01,0.226181
2007-08-01,0.205997
2007-09-01,0.273057
2007-10-01,0.282709
2007-11-01,0.284747
2007-12-01,0.229680000
2008-01-01,0.292763
2008-02-01,0.173662
2008-03-01,0.277599
2008-04-01,0.218402
2008-05-01,0.240997
2008-06-01,0.324345
2008-07-01,0.308092
2008-08-01,0.260722
2008-09-01,0.276352
2008-10-01,0.179384
2008-11-01,0.172212
2008-12-01,0.111329
2009-01-01,0.207605
2009-02-01,0.164584
2009-03-01,0.167937
2009-04-01,0.145632
2009-05-01,0.132696
2009-06-01,0.112182
2009-07-01,0.109363
2009-08-01,0.106751
2009-09-01,0.101667
2009-10-01,0.059037
2009-11-01,0.023928
2009-12-01,0.041220000
2010-01-01,0.050921
2010-02-01,0.034576
2010-03-01,0.044418
2010-04-01,0.079461
2010-05-01,0.070798
2010-06-01,0.100289
2010-07-01,0.071298
2010-08-01,0.070335
2010-09-01,0.087378
2010-10-01,0.064274
2010-11-01,0.145779
2010-12-01,0.053401
2011-01-01,0.176882
2011-02-01,0.195403
2011-03-01,0.127610000
2011-04-01,0.127704
2011-05-01,0.120673
2011-06-01,0.147422
2011-07-01,0.194142
2011-08-01,0.287814
2011-09-01,0.141846
2011-10-01,0.171634
2011-11-01,0.156755
2011-12-01,0.245270000
2012-01-01,0.260476
2012-02-01,0.105634
2012-03-01,0.210888
2012-04-01,0.178194
2012-05-01,0.118883
2012-06-01,0.194906
2012-07-01,0.213643
2012-08-01,0.195061
2012-09-01,0.185475
2012-10-01,0.150018
2012-11-01,0.138852
2012-12-01,0.167511
2013-01-01,0.197593
2013-02-01,0.172286
2013-03-01,0.173838
2013-04-01,0.040427
2013-05-01,0.085881
2013-06-01,0.157243
2013-07-01,0.206766
2013-08-01,0.229216
2013-09-01,0.151365
2013-10-01,0.136522
2013-11-01,0.170655
2013-12-01,0.147512
